Year,Month,Ocean,Temperature,Salinity,Depth_m
2021,Feb,Pacific,11.59,33.42,50
2019,Jul,Pacific,28.14,32.7,100
2019,Oct,Atlantic,17.64,32.0,0
2019,Dec,Indian,28.05,30.81,200
2019,Oct,Pacific,6.35,31.86,200
2018,Apr,Pacific,11.18,31.92,50
2023,Jun,Indian,11.25,32.35,50
2022,Sep,Indian,0.17,31.91,200
2021,Oct,Indian,20.76,30.16,0
2022,Nov,Indian,26.94,32.06,50
2018,Apr,Pacific,27.54,30.07,50
2018,Jul,Indian,23.91,35.16,50
2018,Sep,Pacific,7.63,31.33,200
2023,Jan,Pacific,11.55,30.84,0
2018,Oct,Indian,9.93,34.43,200
2019,Nov,Atlantic,13.48,36.64,100
2022,Feb,Atlantic,13.68,36.45,50
2020,Sep,Atlantic,26.72,33.85,10
2021,May,Pacific,3.14,32.43,0
2018,Apr,Pacific,22.72,31.54,50
2022,Jul,Atlantic,17.23,32.69,50
2018,May,Indian,20.63,30.31,10
2023,Jan,Pacific,26.8,34.1,200
2018,Sep,Indian,28.24,36.35,200
2018,Aug,Pacific,0.31,34.66,200
2018,Mar,Atlantic,25.62,34.34,200
2018,Oct,Atlantic,5.45,31.99,10
2021,Mar,Indian,4.66,33.1,10
2022,Mar,Indian,27.26,36.68,0
2023,Jul,Pacific,28.23,35.19,10
2018,Feb,Pacific,11.88,30.44,10
2018,Sep,Pacific,1.84,31.32,10
2018,Apr,Pacific,24.42,33.05,100
2018,Jul,Indian,25.39,35.88,100
2019,Aug,Atlantic,6.29,36.37,0
2019,May,Indian,29.48,32.3,200
2020,Aug,Indian,23.56,31.23,10
2018,Apr,Atlantic,13.41,30.87,0
2020,Oct,Indian,13.6,30.57,10
2021,Feb,Indian,10.19,31.12,100
2020,Mar,Pacific,22.29,30.7,10
2022,Jun,Indian,18.57,33.48,200
2019,Oct,Indian,23.41,35.31,50
2019,Jun,Indian,16.11,32.1,100
2018,Dec,Indian,1.57,33.6,0
2018,Dec,Indian,26.27,36.15,100
2021,Dec,Pacific,13.57,36.44,10
2023,Jul,Pacific,21.84,32.46,10
2021,Dec,Atlantic,7.54,35.13,100
2022,Nov,Indian,7.72,30.5,0
2018,Apr,Indian,10.96,34.01,200
2018,Aug,Pacific,10.31,34.14,200
2021,Aug,Atlantic,8.38,33.82,100
2021,Nov,Indian,9.62,31.16,50
2021,Jul,Pacific,4.19,34.66,10
2019,Mar,Pacific,0.39,31.62,50
2020,Mar,Indian,29.29,36.42,0
2020,Feb,Indian,2.23,30.62,10
2018,Nov,Atlantic,10.62,34.73,200
2019,Jul,Pacific,25.06,32.73,10
2021,Jun,Pacific,0.12,32.31,0
2018,Dec,Indian,23.4,32.13,10
2019,Jul,Indian,12.6,32.6,50
2022,Feb,Pacific,6.41,31.63,10
2023,Apr,Atlantic,4.52,35.9,50
2019,Jan,Pacific,25.05,34.39,50
2018,Feb,Atlantic,8.62,35.17,200
2020,Jul,Atlantic,14.24,31.63,200
2021,May,Atlantic,10.74,31.47,50
2023,Oct,Pacific,26.03,32.99,0
2022,Mar,Indian,4.3,34.96,100
2023,Feb,Indian,29.51,36.8,0
2023,Mar,Pacific,0.57,32.58,10
2019,Apr,Atlantic,5.98,36.03,100
2018,Oct,Pacific,14.2,36.52,100
2018,Oct,Indian,5.23,30.05,200
2023,May,Atlantic,7.46,35.0,50
2021,Aug,Pacific,29.62,32.99,100
2018,Sep,Pacific,18.37,34.13,100
2023,Feb,Pacific,1.36,33.7,0
2018,Dec,Atlantic,14.28,36.06,50
2021,Mar,Atlantic,17.45,31.3,0
2022,Apr,Pacific,9.88,34.82,200
2023,Jul,Indian,26.63,31.76,10
2020,Jun,Indian,24.3,35.84,50
2020,Jun,Atlantic,12.11,36.11,10
2023,Oct,Indian,22.72,31.5,10
2019,Jul,Pacific,15.87,32.49,0
2022,Jan,Atlantic,24.4,33.73,200
2019,Aug,Pacific,14.65,30.47,50
2020,Sep,Pacific,3.35,33.54,200
2021,Feb,Atlantic,9.31,34.19,50
2023,Jan,Pacific,18.72,36.37,200
2018,Apr,Indian,28.76,32.56,10
2020,Nov,Pacific,26.45,31.68,100
2022,Feb,Pacific,25.18,33.72,10
2020,Jun,Indian,16.4,35.72,200
2022,Mar,Atlantic,5.61,33.98,200
2022,Sep,Atlantic,0.54,36.05,0
2023,Aug,Indian,10.55,31.26,50
2022,Jul,Pacific,23.03,36.1,100
2019,Nov,Indian,7.51,33.92,100
2021,Jul,Atlantic,8.75,31.98,200
2020,Jul,Atlantic,3.6,30.63,200
2021,May,Pacific,21.27,30.54,50
2018,Aug,Indian,8.6,34.72,50
2020,Apr,Pacific,18.86,36.65,200
2021,May,Atlantic,15.72,35.07,0
2021,Mar,Atlantic,29.78,35.17,200
2023,Mar,Pacific,28.39,31.4,0
2023,Feb,Pacific,11.83,32.19,100
2018,May,Atlantic,24.07,35.6,200
2022,Dec,Indian,12.2,33.51,10
2020,Feb,Atlantic,8.09,30.17,100
2023,Oct,Pacific,0.44,31.84,50
2020,Apr,Indian,21.56,36.16,50
2018,Oct,Pacific,8.41,35.73,0
2023,Dec,Pacific,14.42,31.3,0
2023,Jan,Indian,4.96,31.72,0
2022,Feb,Atlantic,1.95,36.61,50
2020,Nov,Pacific,22.42,32.82,10
2020,Jan,Pacific,8.79,30.98,50
2020,Feb,Atlantic,7.65,33.5,100
2022,Apr,Atlantic,7.78,33.3,50
2023,Jan,Indian,3.13,36.81,50
2018,Jun,Atlantic,0.95,34.52,0
2020,Jan,Atlantic,5.58,33.18,10
2021,Mar,Pacific,24.01,32.59,200
2022,Feb,Pacific,29.43,34.3,200
2019,Feb,Atlantic,15.44,33.73,200
2018,Apr,Indian,24.17,34.68,10
2021,Sep,Indian,7.65,33.85,50
2020,Mar,Pacific,20.52,36.36,0
2019,Dec,Indian,26.73,30.03,0
2018,Jun,Indian,18.51,33.92,100
2022,Dec,Pacific,21.04,35.55,10
2019,Nov,Atlantic,3.01,30.63,0
2023,Oct,Atlantic,10.72,30.65,100
2019,Mar,Pacific,0.93,30.66,0
2021,Oct,Pacific,4.99,36.59,100
2018,May,Pacific,8.93,35.92,50
2021,Sep,Atlantic,28.6,30.76,100
2021,Mar,Indian,1.22,34.56,200
2020,Aug,Atlantic,13.55,34.08,50
2022,Jun,Atlantic,23.14,30.94,50
2019,Dec,Pacific,15.21,33.69,10
2018,Aug,Indian,17.59,30.28,10
2023,Feb,Atlantic,28.0,30.04,100
2022,Sep,Indian,19.54,32.02,100
2022,Jan,Indian,22.73,36.43,100
2018,Mar,Pacific,1.18,33.92,0
2022,Apr,Indian,23.87,30.22,50
2020,Jun,Atlantic,12.66,30.24,200
2022,Nov,Indian,0.59,30.84,100
2020,Apr,Pacific,25.49,31.9,50
2019,Nov,Atlantic,28.7,31.07,0
2019,Feb,Indian,18.1,31.57,0
2021,Mar,Atlantic,26.67,31.11,200
2020,Mar,Atlantic,5.84,35.44,100
2023,Jun,Pacific,18.12,32.83,200
2019,May,Atlantic,13.48,34.71,0
2022,May,Pacific,1.1,32.15,50
2018,Nov,Pacific,18.82,33.15,50
2018,Apr,Indian,17.29,34.27,100
2020,Apr,Pacific,1.35,30.48,0
2023,Sep,Indian,6.24,31.77,100
2021,Jul,Atlantic,8.69,36.74,200
2022,Dec,Atlantic,5.84,35.99,200
2020,Aug,Pacific,19.51,36.5,10
2018,Apr,Indian,15.95,30.28,100
2020,Nov,Atlantic,11.02,33.95,10
2022,Mar,Indian,12.98,31.94,200
2023,Jan,Atlantic,28.99,35.91,10
2023,Sep,Indian,3.36,34.18,50
2019,Sep,Pacific,5.62,31.33,10
2022,Feb,Atlantic,16.14,30.48,0
2019,Apr,Pacific,29.33,34.91,0
2019,Apr,Pacific,22.17,36.51,50
2019,Dec,Indian,24.61,32.24,0
2020,Jan,Pacific,21.98,33.03,10
2018,Dec,Pacific,2.35,35.13,50
2023,Feb,Pacific,8.8,34.14,0
2020,Aug,Pacific,16.2,34.33,50
2018,Jun,Indian,1.86,31.85,100
2023,Jan,Indian,11.96,30.74,0
2022,Jul,Pacific,6.3,33.3,200
2023,Nov,Atlantic,19.56,33.87,200
2023,Jul,Pacific,2.95,35.39,10
2023,Jun,Pacific,23.59,30.55,50
2021,Nov,Atlantic,17.12,31.32,50
2022,Aug,Atlantic,11.19,31.59,0
2020,Nov,Pacific,4.2,33.82,100
2020,Dec,Indian,20.15,32.89,200
2018,May,Indian,25.17,34.94,0
2020,Feb,Atlantic,25.44,36.02,50
2019,Apr,Pacific,3.88,34.35,100
2023,Nov,Pacific,29.41,36.1,100
2020,Aug,Pacific,9.62,34.61,100
2018,Aug,Pacific,7.23,34.12,0
2018,Dec,Pacific,11.12,33.77,200
2019,May,Atlantic,12.79,33.51,10
2018,Jun,Indian,17.56,31.19,10
2021,Sep,Atlantic,16.49,33.45,10
2023,Oct,Atlantic,5.04,35.44,100
2023,Oct,Pacific,8.38,33.83,10
2023,Oct,Atlantic,22.26,32.99,100
2022,Nov,Pacific,6.43,36.58,100
2020,Nov,Atlantic,20.8,30.14,50
2021,Feb,Pacific,22.71,30.89,200
2020,May,Indian,22.6,36.27,100
2021,Sep,Pacific,22.22,30.83,10
2020,Mar,Pacific,7.79,33.9,10
2019,Jun,Indian,12.65,36.44,100
2018,Apr,Pacific,14.07,34.8,0
2018,Apr,Pacific,28.43,33.09,200
2019,Mar,Indian,9.87,30.57,200
2021,Oct,Pacific,28.15,31.43,200
2022,Jan,Atlantic,26.2,34.94,100
2021,Dec,Pacific,22.95,34.84,50
2018,Nov,Atlantic,20.62,34.1,50
2022,Aug,Indian,14.88,33.66,10
2020,May,Atlantic,3.55,32.03,10
2022,Feb,Indian,14.59,34.5,0
2021,Jan,Pacific,0.72,36.63,10
2019,Jan,Pacific,14.67,34.59,0
2020,Apr,Indian,18.94,36.17,10
2021,Apr,Atlantic,12.07,35.01,50
2020,Jun,Atlantic,3.77,35.26,0
2022,Nov,Atlantic,20.88,30.91,200
2018,Jul,Atlantic,25.26,30.68,0
2021,Jan,Pacific,19.24,32.22,0
2019,Oct,Atlantic,17.39,32.63,10
2022,Feb,Indian,12.7,34.46,200
2021,Mar,Atlantic,20.16,32.78,100
2019,Sep,Indian,9.42,32.23,10
2021,Apr,Indian,17.39,36.96,50
2022,Jun,Pacific,10.0,34.15,200
2021,Feb,Indian,18.52,30.45,200
2020,Nov,Atlantic,14.0,30.14,100
2022,Feb,Atlantic,6.87,35.14,200
2021,Feb,Pacific,8.12,33.24,10
2018,Nov,Atlantic,21.82,36.26,50
2021,May,Indian,5.08,35.21,50
2020,Sep,Atlantic,8.71,35.55,100
2019,Jun,Indian,21.7,31.51,10
2019,Sep,Atlantic,0.83,32.43,10
2019,Jun,Atlantic,0.08,34.76,10
2018,Sep,Atlantic,11.84,35.9,100
2020,May,Indian,28.48,35.67,0
2022,Nov,Indian,1.42,32.36,50
2019,Dec,Pacific,26.91,34.14,100
2020,Jan,Indian,16.91,30.02,0
2021,Jun,Indian,2.96,36.53,10
2018,Apr,Atlantic,24.91,31.95,10
2020,Sep,Atlantic,1.38,30.86,10
2020,Jun,Pacific,15.38,35.43,10
2022,Jan,Pacific,18.55,34.98,200
2020,Jun,Pacific,20.36,32.58,100
2022,Mar,Atlantic,7.07,32.79,100
2018,Mar,Pacific,8.05,34.91,50
2018,Jul,Atlantic,25.46,30.17,10
2021,Feb,Atlantic,10.67,36.67,50
2022,Sep,Pacific,15.82,36.5,0
2022,Sep,Indian,13.37,32.79,50
2019,Jul,Pacific,5.41,35.22,200
2019,Sep,Pacific,12.2,33.97,10
2021,Nov,Atlantic,1.3,34.92,10
2018,Jun,Atlantic,4.52,36.35,200
2023,Sep,Indian,24.98,33.01,10
2019,Oct,Atlantic,27.74,33.01,10
2020,Feb,Indian,0.64,35.87,0
2018,May,Indian,9.63,30.16,100
2023,Nov,Indian,28.07,31.79,10
2020,Jun,Indian,21.59,30.98,10
2022,Dec,Pacific,0.37,36.28,10
2018,Jun,Pacific,3.24,33.95,10
2021,Nov,Pacific,22.11,30.28,0
2022,Apr,Pacific,20.4,32.92,50
2022,Apr,Atlantic,26.27,35.78,100
2020,May,Indian,22.71,30.65,100
2022,Jun,Atlantic,28.35,32.07,50
2019,Dec,Pacific,16.29,36.26,10
2018,Aug,Indian,7.89,30.45,100
2019,Dec,Indian,3.93,36.97,200
2020,Oct,Atlantic,0.14,32.17,200
2023,Jan,Pacific,3.75,30.26,10
2020,Aug,Atlantic,17.98,31.11,200
2018,Feb,Indian,12.17,34.49,100
2022,Nov,Pacific,23.77,30.93,50
2021,Jul,Pacific,9.85,35.33,10
2020,Apr,Atlantic,10.69,32.76,100
2018,Aug,Atlantic,18.51,36.28,50
2021,Jun,Atlantic,28.12,30.55,100
2022,May,Pacific,17.73,32.77,10
2023,Oct,Indian,6.92,34.13,200
2020,Oct,Pacific,11.74,35.92,50
2023,May,Pacific,27.69,33.75,200
2018,Apr,Pacific,24.08,35.26,0
2023,Mar,Pacific,1.02,34.39,50
2023,Mar,Atlantic,7.62,32.03,50
2018,Mar,Atlantic,18.12,32.82,100
2018,Jul,Indian,22.14,35.91,100
2020,Aug,Pacific,3.6,30.76,10
2023,Aug,Pacific,15.45,36.78,200
2021,Feb,Indian,16.87,34.41,0
2018,Mar,Pacific,3.64,32.95,100
2022,Feb,Pacific,13.19,36.07,100
2023,Jun,Indian,0.09,34.0,100
2018,Nov,Indian,20.98,34.88,200
2021,Mar,Indian,2.3,30.71,0
2020,Jun,Indian,4.39,35.8,10
2023,Apr,Pacific,23.77,36.4,0
2018,Dec,Indian,12.41,30.62,100
2018,Oct,Indian,20.8,31.58,200
2022,Oct,Atlantic,19.64,32.86,0
2022,Jun,Atlantic,4.52,33.57,0
2023,Mar,Indian,5.07,36.34,50
2018,May,Indian,19.77,36.99,0
2023,Aug,Atlantic,7.14,35.22,10
2018,Mar,Indian,13.25,35.19,50
2022,Sep,Atlantic,24.64,35.47,0
2021,Sep,Atlantic,8.22,31.16,0
2019,Jul,Atlantic,10.28,32.91,50
2019,Aug,Pacific,9.4,35.36,100
2018,Sep,Atlantic,22.38,36.32,200
2022,Jan,Indian,9.64,36.5,200
2020,Jul,Indian,11.49,30.01,100
2020,Oct,Atlantic,16.67,36.46,50
2019,Mar,Pacific,15.33,36.63,10
2021,Jun,Indian,8.27,30.01,0
2019,Sep,Atlantic,18.28,30.08,50
2018,Dec,Indian,10.63,31.89,10
2021,Oct,Atlantic,13.74,30.41,50
2020,Nov,Indian,11.32,34.34,0
2022,Aug,Pacific,23.54,33.12,100
2022,Feb,Pacific,16.2,31.64,100
2018,Apr,Pacific,29.63,35.54,200
2019,Nov,Pacific,14.8,31.2,100
2018,May,Indian,26.72,35.36,200
2022,Oct,Indian,17.21,36.81,100
2020,Jun,Pacific,26.8,34.07,50
2022,Jul,Indian,19.92,35.78,50
2021,Nov,Atlantic,3.62,30.7,200
2023,Apr,Pacific,2.82,32.13,100
2022,Apr,Indian,22.93,34.83,200
2022,May,Atlantic,20.51,34.9,10
2023,Sep,Atlantic,13.52,30.82,100
2021,Sep,Indian,12.88,36.42,50
2019,Jan,Pacific,19.82,36.65,50
2022,May,Atlantic,16.66,30.22,200
2018,May,Pacific,6.08,35.68,200
2022,Jul,Indian,26.26,30.96,10
2018,Aug,Indian,21.1,30.86,10
2021,Mar,Indian,19.55,34.9,0
2022,Jan,Pacific,14.29,30.57,200
2021,Feb,Pacific,28.37,33.14,200
2021,Jun,Atlantic,0.33,32.69,10
2019,Nov,Atlantic,20.95,34.75,0
2022,Jun,Pacific,29.48,35.57,200
2018,Nov,Indian,17.72,31.48,10
2018,May,Pacific,17.8,31.29,50
2022,Nov,Atlantic,23.82,36.35,200
2023,May,Indian,0.72,30.04,100
2019,Sep,Atlantic,3.47,33.93,50
2019,Nov,Indian,25.37,34.15,200
2019,Jul,Pacific,19.71,35.73,100
2018,Jun,Atlantic,29.48,31.52,0
2021,Nov,Indian,12.22,36.65,50
2023,Jul,Atlantic,13.41,30.48,0
2019,Mar,Pacific,19.91,32.13,50
2018,Jul,Atlantic,5.42,31.72,0
2018,Mar,Atlantic,8.64,31.52,100
2021,Aug,Indian,25.81,31.17,10
2022,Oct,Indian,24.09,31.3,200
2022,Oct,Pacific,17.13,35.42,200
2019,Sep,Indian,10.76,36.76,10
2019,Mar,Indian,19.09,35.41,100
2023,Jul,Atlantic,5.18,31.75,100
2021,Aug,Pacific,12.99,31.75,50
2019,Mar,Pacific,15.09,35.13,10
2021,Jun,Indian,13.84,32.31,0
2018,Jul,Atlantic,12.56,35.59,50
2019,Apr,Pacific,11.27,30.1,50
2018,Jun,Pacific,17.35,32.63,100
2020,Jul,Atlantic,10.73,32.69,10
2021,Dec,Indian,17.69,32.3,0
2020,Jul,Indian,15.6,35.02,200
2019,Nov,Indian,10.6,34.72,10
2018,Jan,Atlantic,23.54,36.97,0
2019,Feb,Atlantic,1.29,34.3,10
2020,Nov,Pacific,8.09,35.84,100
2019,Nov,Atlantic,14.86,31.67,100
2023,Jan,Indian,27.38,34.57,0
2022,Sep,Pacific,2.16,33.39,200
2020,Dec,Atlantic,17.51,35.98,200
2019,Jul,Atlantic,5.1,36.17,100
2018,Nov,Pacific,0.37,31.78,0
2019,Jul,Indian,26.0,30.42,50
2018,Mar,Indian,26.3,33.77,200
2022,May,Atlantic,8.25,32.35,200
2019,Feb,Pacific,25.82,34.98,200
2022,May,Atlantic,11.31,30.04,10
2020,Aug,Pacific,1.42,34.82,10
2018,Oct,Atlantic,6.73,33.77,100
2023,Mar,Indian,19.52,32.27,0
2020,Apr,Pacific,6.19,34.02,100
2018,Aug,Indian,17.31,36.54,10
2022,Feb,Indian,5.48,36.2,100
2021,Jan,Pacific,6.25,36.11,100
2019,Mar,Pacific,20.26,31.66,50
2022,Feb,Atlantic,26.1,32.83,100
2018,Oct,Pacific,22.45,30.51,200
2018,Feb,Atlantic,1.74,30.91,0
2018,Apr,Pacific,27.69,31.66,0
2018,Jun,Indian,4.81,36.19,200
2019,Oct,Pacific,21.82,30.84,10
2020,Oct,Pacific,21.84,32.46,100
2023,May,Atlantic,13.55,30.21,200
2021,Apr,Atlantic,16.92,31.84,200
2019,Aug,Indian,2.88,35.59,50
2018,Nov,Pacific,29.19,36.48,50
2019,May,Atlantic,1.94,32.89,100
2022,Feb,Pacific,27.3,31.96,100
2023,Apr,Indian,7.47,34.02,10
2018,Jul,Atlantic,11.74,30.19,50
2021,Apr,Indian,22.74,32.33,100
2018,Jun,Atlantic,26.37,35.5,200
2023,Feb,Pacific,20.86,30.14,10
2021,Sep,Atlantic,3.65,31.93,0
2023,Apr,Indian,10.56,31.36,50
2021,Jan,Atlantic,18.3,32.47,200
2020,Mar,Pacific,29.59,30.51,200
2020,Jul,Pacific,12.16,32.99,50
2019,Oct,Indian,9.08,33.29,0
2019,Sep,Indian,8.41,30.67,50
2021,Jun,Atlantic,25.62,35.75,200
2018,Apr,Pacific,5.12,35.09,10
2022,Feb,Pacific,19.34,31.83,0
2022,Sep,Atlantic,25.45,31.01,200
2018,Dec,Atlantic,25.6,36.99,200
2018,Aug,Indian,3.91,30.19,100
2020,Jul,Indian,23.8,33.63,10
2022,Feb,Atlantic,27.58,35.15,200
2021,Feb,Atlantic,23.48,36.56,200
2023,Aug,Atlantic,21.05,33.66,50
2019,Sep,Pacific,15.51,34.04,50
2023,Sep,Indian,23.03,36.24,100
2020,Aug,Indian,17.29,32.86,200
2022,Jan,Pacific,12.23,32.61,0
2018,May,Indian,14.81,36.24,200
2022,Jul,Atlantic,19.63,35.09,0
2021,Oct,Pacific,16.77,34.67,10
2020,Jun,Atlantic,20.07,31.15,100
2018,Nov,Indian,29.45,32.99,50
2023,Dec,Pacific,7.83,32.78,100
2021,Jan,Indian,29.87,36.4,50
2023,Oct,Atlantic,1.62,30.33,200
2019,Jun,Atlantic,18.24,36.89,10
2020,Apr,Indian,28.02,36.4,50
2021,Mar,Pacific,3.07,34.45,0
2021,Apr,Pacific,29.71,32.98,50
2023,Aug,Pacific,27.56,35.39,50
2018,Nov,Atlantic,25.62,35.84,200
2019,Jun,Indian,15.81,31.21,100
2023,Sep,Pacific,6.41,36.13,0
2021,May,Pacific,2.68,31.03,100
2020,Nov,Pacific,1.94,32.84,10
2021,Sep,Pacific,17.64,31.43,100
2022,Apr,Pacific,21.07,33.78,0
2020,Dec,Indian,6.62,36.52,10
2020,Apr,Atlantic,14.68,32.41,200
2021,Jun,Indian,15.86,35.73,10
2018,Oct,Atlantic,26.9,33.59,0
2020,Nov,Atlantic,3.78,35.7,200
2022,Jul,Indian,23.93,36.3,10
2023,Feb,Atlantic,23.14,33.04,200
2018,Apr,Atlantic,20.43,32.77,0
2018,Aug,Atlantic,7.44,31.49,10
2018,Sep,Atlantic,1.54,36.24,0
2020,May,Pacific,23.48,35.21,50
2018,Jun,Indian,16.8,33.23,10
2021,Oct,Indian,18.84,32.74,10
2018,Dec,Pacific,25.57,30.72,200
2022,Jul,Pacific,3.96,31.4,200
2019,Jul,Pacific,6.19,31.98,100
2022,Mar,Indian,12.63,36.19,200
2020,Feb,Pacific,10.62,34.67,100
2018,Oct,Indian,28.5,31.29,200
2018,Aug,Pacific,9.54,32.46,0
2021,Sep,Indian,26.98,31.31,0
2023,Nov,Atlantic,15.96,32.04,50
2018,Aug,Pacific,2.88,31.09,100
2022,Aug,Atlantic,20.19,35.74,200
2020,Feb,Pacific,22.42,30.41,0
2019,Nov,Indian,4.9,33.13,200
2018,Apr,Atlantic,12.59,32.0,200
2019,Jun,Atlantic,4.45,32.83,10
2018,Aug,Atlantic,5.31,36.26,50
2020,Feb,Pacific,20.63,33.21,100
2023,Dec,Pacific,14.86,33.05,0
2022,Aug,Pacific,0.96,32.94,0
2020,Jan,Atlantic,28.04,31.01,50
2019,Nov,Indian,20.72,33.91,200
2018,Jun,Atlantic,1.59,31.97,50
2019,Aug,Atlantic,21.61,34.29,10
2022,Aug,Indian,25.13,34.64,100
2020,Dec,Indian,12.17,35.7,0
2019,Nov,Atlantic,22.63,34.93,50
2019,Jul,Atlantic,8.7,34.31,50
2022,Jul,Indian,3.64,35.39,50
2018,Nov,Atlantic,29.12,34.63,200
2019,Oct,Atlantic,0.13,32.4,50
2022,Nov,Indian,15.7,30.79,200
2018,Dec,Pacific,2.94,35.27,200
2023,Sep,Atlantic,17.89,31.52,0
2018,Feb,Atlantic,0.14,36.03,10
2023,Jan,Pacific,1.87,34.89,100
2020,Dec,Indian,21.16,33.14,100
2022,Feb,Pacific,24.29,36.74,200
2018,Mar,Atlantic,23.82,35.26,50
2023,Sep,Pacific,5.22,33.37,50
2023,Oct,Indian,0.16,32.1,200
2020,Jul,Atlantic,22.48,31.85,10
2021,May,Pacific,5.5,31.82,10
2022,May,Atlantic,9.57,33.23,0
2021,Jun,Indian,8.24,31.34,100
2018,Feb,Pacific,27.95,35.0,100
2022,Jan,Indian,26.31,35.84,100
2020,Nov,Atlantic,13.61,30.56,200
2018,Jan,Atlantic,23.77,35.21,0
2022,Mar,Indian,22.36,33.55,200
2022,Jan,Atlantic,14.11,30.57,100
2021,Sep,Indian,2.88,32.12,0
2018,Oct,Indian,23.21,36.19,200
2020,May,Indian,20.33,35.02,100
2020,Sep,Atlantic,4.69,32.79,0
2018,May,Indian,14.59,34.99,0
2018,Jan,Atlantic,23.85,31.83,50
2023,Nov,Indian,23.05,31.29,200
2019,Dec,Atlantic,29.14,36.43,10
2021,Jul,Pacific,13.9,32.3,10
2018,Jul,Indian,24.79,31.48,200
2018,Apr,Pacific,0.22,34.22,0
2019,Mar,Pacific,19.28,36.17,50
2019,Jan,Indian,8.37,35.31,200
2022,Jul,Pacific,4.69,33.09,10
2020,May,Pacific,22.15,34.45,10
2021,Oct,Indian,11.13,31.41,50
2022,Jan,Pacific,18.42,33.57,100
2018,Jan,Indian,24.92,35.87,50
2019,Mar,Indian,16.13,36.54,10
2023,Mar,Pacific,13.19,35.12,0
2020,Feb,Indian,18.63,32.74,10
2022,Aug,Pacific,29.88,31.87,10
2023,Dec,Indian,3.81,32.25,200
2020,Aug,Indian,8.14,35.25,50
2023,Jun,Indian,28.03,31.36,50
2019,May,Pacific,29.84,32.82,10
2022,Jun,Atlantic,16.73,36.75,0
2022,Jan,Pacific,0.52,36.42,200
2020,Feb,Indian,24.91,36.44,50
2023,Jul,Pacific,18.92,30.38,200
2019,Jan,Indian,15.76,36.54,100
2018,Aug,Atlantic,28.97,31.3,100
2022,Mar,Atlantic,3.99,35.28,0
2018,Apr,Pacific,10.34,31.34,200
2019,Jul,Pacific,18.79,32.72,50
2022,Oct,Atlantic,0.14,32.9,10
2022,Jul,Pacific,25.96,33.51,100
2023,Feb,Indian,22.86,36.25,100
2018,May,Indian,7.05,34.45,0
2023,Aug,Pacific,9.24,31.37,50
2021,Sep,Atlantic,9.17,33.01,0
2018,May,Indian,25.83,31.01,50
2018,Feb,Indian,9.63,32.37,0
2021,Apr,Indian,8.38,32.97,0
2019,Nov,Indian,22.19,32.19,50
2019,May,Atlantic,17.36,35.4,0
2022,Jun,Indian,10.78,30.1,10
2020,Dec,Atlantic,17.28,36.53,0
2023,Jun,Atlantic,27.58,33.66,200
2020,Dec,Atlantic,13.52,35.61,100
2022,Jan,Indian,0.14,31.32,200
2020,Jun,Indian,22.01,32.45,0
2018,Nov,Atlantic,29.95,36.78,200
2018,Oct,Indian,1.57,33.77,200
2021,Jan,Indian,18.34,32.51,100
2021,May,Indian,11.96,36.99,50
2022,Nov,Atlantic,16.94,34.82,100
2022,Jul,Atlantic,9.23,35.66,50
2022,Aug,Indian,22.6,31.36,100
2018,Nov,Indian,2.8,30.1,0
2020,Nov,Atlantic,2.7,36.4,10
2023,May,Pacific,16.21,32.13,10
2022,Feb,Atlantic,9.63,35.35,100
2022,Mar,Indian,27.69,33.01,200
2018,Dec,Pacific,5.77,36.18,10
2023,Jul,Indian,23.27,31.81,100
2018,Oct,Atlantic,29.24,33.71,0
2023,Apr,Indian,9.8,32.56,50
2018,Jan,Pacific,27.53,34.8,10
2020,Mar,Indian,9.51,33.76,0
2022,Oct,Atlantic,16.62,35.15,100
2019,Feb,Atlantic,0.01,33.06,200
2019,Sep,Atlantic,7.93,35.46,100
2022,Jan,Atlantic,1.58,33.56,100
2022,Sep,Pacific,0.9,30.81,0
2022,Oct,Indian,29.87,35.12,100
2022,May,Indian,22.95,33.01,100
2023,Dec,Pacific,10.09,35.49,100
2020,Jun,Indian,20.43,36.34,200
2019,Jun,Pacific,15.81,36.34,200
2021,Dec,Pacific,27.54,35.48,200
2019,Jun,Pacific,7.47,30.82,10
2019,Sep,Pacific,15.37,36.74,0
2018,Sep,Atlantic,0.19,33.67,50
2022,Nov,Pacific,21.82,36.4,100
2022,Oct,Pacific,17.34,34.8,0
2022,Jul,Atlantic,18.7,31.48,0
2018,Mar,Pacific,21.77,34.41,10
2020,Jul,Pacific,11.44,32.58,10
2020,May,Atlantic,4.69,30.12,200
2021,Sep,Pacific,5.53,35.92,0
2020,Aug,Indian,21.96,36.86,100
2020,Oct,Pacific,29.82,33.68,200
2022,Dec,Atlantic,13.48,32.23,200
2023,Jun,Pacific,5.15,31.49,10
2019,May,Pacific,2.09,31.78,100
2020,Oct,Atlantic,14.44,35.86,50
2020,Feb,Atlantic,21.49,31.09,50
2018,Nov,Indian,18.06,36.51,10
2021,Dec,Indian,8.75,32.98,200
2023,Mar,Indian,17.83,34.59,100
2018,Nov,Indian,16.3,32.96,0
2022,Nov,Atlantic,6.5,36.98,50
2019,Mar,Indian,12.28,32.61,50
2021,Apr,Indian,26.26,32.64,0
2018,Mar,Atlantic,22.58,36.1,10
2020,Jul,Pacific,27.89,30.81,0
